"Ben Walker",,,,
"David Scott",,,,
"Diana Warner",,,,
"Elaine Hardwick",Q75996273,,,
"Eva Fielding",,,,
"Ian Boulton",,,,
"Jenny Vernon","Q75975578","2019 United Kingdom general election","Filton and Bradley Stoke","Green Party of England and Wales"
"John Knight",,,,
"Jon Lucas",,,,
"Mhairi Threlfall","Q76363360","2019 United Kingdom general election","Filton and Bradley Stoke","Labour Party"
"Naomi Rylatt",,,,
"None of the Above Zero",Q3518909,,,
"Pete Bruce",,,,
"Peter Tyzack","Q98521804","2001 United Kingdom general election","Bristol North West","Liberal Democrats"
"Ruth Johnson","Q75975299","2019 United Kingdom general election","North East Cambridgeshire","Green Party of England and Wales"
